,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
359,Escola Superior de Atividades Imobiliárias,world rank  10978,"Praça Eduardo Mondlane, 7 C
Lisbon
1950-104 Lisboa
Portugal",+351 (21) 836 7010,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
360,Escola Superior de Educação Almeida Garrett,world rank  10954,"Rua de S. Paulo, 89
Lisbon
1200-427 Lisboa
Portugal",+351 (21) 886 2042,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
361,Escola Superior de Educação de João de Deus,world rank  11555,"Avenida Pedro Álvares Cabral, 69
Lisbon
1269-094 Lisboa
Portugal",+351 (21) 396 8154,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
362,Escola Superior de Educação de Paula Frassinetti,world rank  7921,"Rua Gil Vicente, 138/142
Porto
4000-255 Porto
Portugal",+351 (22) 557 3420,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
363,Escola Superior de Educadores de Infância Maria Ulrich,world rank  Un,"Rua do Jardim à Estrela, nº 16
Lisbon
1350-184 Lisboa
Portugal",+351 (21) 392 9560,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
364,Escola Superior de Enfermagem Cruz Vermelha Portuguesa,world rank  10518,"Quinta dos Montalvões - Outeiro Seco
Chaves
5400-673 Vila Real
Portugal",+351 (276) 301 690,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
365,Escola Superior de Enfermagem de Coimbra,world rank  6313,"Avenida Bissaya Barreto Apartado 7001
Coimbra
3046-851 Coimbra
Portugal",+351 (239) 487 200,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
366,Escola Superior de Enfermagem de Lisboa,world rank  9073,"Avenida do Brasil, 53 B
Lisbon
1700-063 Lisboa
Portugal",+351 (21) 791 3400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
367,Escola Superior de Enfermagem de São José de Cluny,world rank  10879,"Rampa de Quinta de Sant' Ana nº 22
Funchal
9050-535 Madeira
Portugal",+351 (291) 743 444,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
368,Escola Superior de Enfermagem do Porto,world rank  8478,"Rua Dr. António Bernardino de Almeida
Porto
4200-072 Porto
Portugal",+351 (22) 507 35 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,Conselho Coordenador dos Institutos Superiores Politécnicos (CCISP),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
369,Escola Superior de Enfermagem São Francisco das Misericórdias,world rank  10784,"Rua de Santa Marta, 56
Lisbon
1169-023 Lisboa
Portugal",+351 (21) 712 0913,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
370,Escola Superior de Hotelaria e Turismo do Estoril,world rank  7890,"Avenida Condes de Barcelona
Estoril
2769-510 Lisboa
Portugal",+351 (21) 004 0700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
371,Escola Superior de Negócios Atlântico,world rank  9765,"Avenida dos Sanatórios, Edifício Heliântia - Valadares
Vila Nova de Gaia
4405-604 Porto
Portugal",+351 (227) 538 800,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
372,Escola Superior de Saúde da Cruz Vermelha Portuguesa,world rank  10155,"Avenida de Ceuta, 1 Edifício Urbiceuta
Lisbon
1350-125 Lisboa
Portugal",+351 (21) 361 6790,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
373,Escola Superior de Saúde de Santa Maria,world rank  10107,"Travessa Antero de Quental, 167
Porto
4049-024 Porto
Portugal",+351 (22) 509 8664,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
374,Escola Superior de Saúde do Alcoitão,world rank  8341,"Rua do Conde Barão - Alcoitão
Alcabideche
2649-506 Lisboa
Portugal",+351 (21) 460 7450,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Not reported,"European Network of Physiotherapy in Higher Education (ENPHE)
Network for Tuning Standards and Quality of Education programmes in Speech and Language Therapy (NetQues)
European Network of Occupational Therapy in Higher Education (ENOTHE)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
375,Escola Superior de Saúde Egas Moniz,world rank  8580,"Quinta da Granja - Campus Universitário
Almada
2829-511 Setubal
Portugal",+351 (21) 294 6700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
376,Escola Superior de Saúde Norte da Cruz Vermelha Portuguesa,world rank  10352,"Rua da Cruz Vermelha Cidacos - Apartado 1002
Oliveira de Azeméis
3720-126 Aveiro
Portugal",+351 (256) 661 430,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
377,Escola Superior de Tecnologias e Artes de Lisboa,world rank  9393,"Rua de Santo Amaro, 34
Lisbon
1200-803 Lisboa
Portugal",+351 (21) 396 4086,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
378,Escola Superior Gallaecia,world rank  9315,"Largo das Oliveiras
Vila Nova da Cerveira
4920-275 Viana do Castelo
Portugal",+351 (251) 794 054,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
379,Escola Superior Náutica Infante D. Henrique,world rank  9446,"Avenida Eng. Bonneville Franco
Paço de Arcos
2770-058 Lisboa
Portugal",+351 (21) 446 0010,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
380,Escola Universitária Vasco da Gama,world rank  10770,"Avenida José Sousa Fernandes, Blocos A e B - Lordemão
Coimbra
3020-210 Coimbra
Portugal",+351 (239) 444 444,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
381,ESCP Business School,world rank  1162,"79 Avenue de la République
Paris
75011 Ile-de-France
France",+33 (0)1 49 23 20 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
382,"Escuela Agrícola Panamericana, Zamorano",world rank  5235,"Km 30 road from Tegucigalpa to Danli, Yeguare Valley, Municipality of San Antonio de Oriente
Tegucigalpa
00093 Francisco Morazan
Honduras",+504 2287 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,no-data,"Escuela Agrícola Panamericana, Zamorano
|
Agribusiness Management Department Food Science and Technology Department Environment and Development Department Agricultural Science and Production Department","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
383,Escuela Bancaria y Comercial,world rank  5717,"Avenida Paseo de la Reforma 202
Mexico City
06600 Mexico City
Mexico",+52 (55) 9149 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'distant learning']"
384,Escuela Colombiana de Ingenieria Julio Garavito,world rank  6131,"AK 45 No. 205-59 (Autopista Norte - KM 13)
Bogotá
Bogota
Colombia",+57 (1) 668 3600,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
385,Escuela de Artes Plasticas y Diseno de Puerto Rico,world rank  6797,"Barrio Ballaja Campo Del Morro
San Juan
00902-1112
Puerto Rico",+1 (787) 725 8120,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,Consejo de Educación de Puerto Rico (CEPR),Not available; please submit a list of official affiliations and memberships to relevant associations and organizations.,['Not reported']
386,Escuela de Comunicación Mónica Herrera,world rank  10110,"Avenida Manuel Gallardo 3-3
Santa Tecla
La Libertad
El Salvador",+503 2507 6500,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
387,Escuela de Ingeniería de Antioquia,world rank  4113,"Calle 25 Sur No. 42-73
Envigado
055428 Antioquia
Colombia",+57 (4) 354 9090,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
388,Escuela Especializada en Ingeniería ITCA-FEPADE,world rank  8451,"Km. 11 Carretera a Santa Tecla
Santa Tecla
La Libertad
El Salvador",+503 2132 7400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
389,Escuela Latinoamericana de Medicina,world rank  Un,"Carretera Panamericana Km 3 1/2, Playa
Havana
11600 La Habana
Cuba",+53 (7) 210 4644,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
390,Escuela Militar de Ingeniería,world rank  7748,"Avenida Arce No. 2642
La Paz
La Paz
Bolivia",+591 (2) 243 2266,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
391,Escuela Nacional de la Judicatura,world rank  7596,"Calle César Nicolás Penson #59, Gazcue
Santo Domingo
Distrito Nacional
Dominican Republic",+1 (809) 686 0672,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
392,Escuela Nacional del Deporte,world rank  8899,"Calle 9 No. 34-01
Cali
Valle del Cauca
Colombia",+57 (2) 684 0404,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
393,Escuela Politécnica Nacional,world rank  2806,"Ladrón de Guevara E11 - 253
Quito
17-01-2759 Pichincha
Ecuador",+593 (2) 250 7144,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Escuela Politécnica Nacional
|
Faculty of Science Faculty of Administrative Sciences Faculty of Civil and Environmental Engineering Faculty of Electrical engineering and Electronics Faculty of Geology and Petroleum Faculty of Mechanical engineering Faculty of Chemical engineering and Agroindustry Faculty of systems engineering School education of technologists","['library', 'sports facilities', 'financial aid']"
394,Escuela Superior de Economía y Negocios,world rank  7238,"Km.12 ½ carretera al Puerto de La Libertad, calle nueva a Comasagua
Santa Tecla
La Libertad
El Salvador",+503 2234 9292,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
395,Escuela Superior Franciscana Especializada AGAPE,world rank  12992,"Km. 63 Carretera San Salvador - Sonsonate
Sonsonate
Sonsonate
El Salvador",+503 2429 9700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
396,Escuela Superior Politecnica Agropecuaria de Manabi,world rank  8802,"10 de Agosto 82 y Granda Centeno
Manta
Manabi
Ecuador",+593 (5) 268 5676,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
397,Escuela Superior Politecnica de Chimborazo,world rank  3439,"Km 11/2 Panamericana Sur
Riobamba
Chimborazo
Ecuador",+593 (3) 296 5269,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
398,Escuela Superior Politécnica del Litoral,world rank  1866,"Campus “Gustavo Galindo V.” Km. 30.5 Vía Perimetral
Guayaquil
9015863 Guayas
Ecuador",+593 (4) 226 9144,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"Centro Interuniversitario de Desarrollo (CINDA)
Asociación Universitaria Iberoamericana de Postgrado (AUIP)
Universia
Latin American and Caribbean Consortium of Engineering Institutions (LACCEI)
Institutional Management in Higher Education (IMHE)
International Association of Universities (IAU)","Escuela Superior Politécnica del Litoral
|
Faculty of Engineering Faculty of Economics and Business Institute of Basic Sciences","['library', 'sports facilities']"
399,Escuela Superiore de Administración Pública,world rank  4088,"Calle 44 No. 53-37 CAN
Bogotá
Bogota
Colombia",+57 (1) 220 2790,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
400,Escuela Tecnologica Instituto Tecnico Central,world rank  7443,"Calle 13 No. 16-74
Bogotá
Bogota
Colombia",+57 (1) 344 3000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
401,Esep Le Berger,world rank  12924,"Rue 1210
Cotonou
Littoral
Benin",+229 (99) 081 512,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
402,ESF College of Women's Society in Ramallah,world rank  12962,"PO Box 214, Tira
Ramallah
West Bank
Palestinian Territory",+970 (2) 295 6533,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
403,Eshrag Institute of Higher Education,world rank  12985,"Taher Fushanji 10th
Herat
3001 Herat
Afghanistan",+93 (40) 228 959,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
404,ESIEE Paris,world rank  2955,"2, Boulevard Blaise Pascal, Cité Descartes
Noisy-le-Grand
93162 Ile-de-France
France",+33 (0)1 45 92 65 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
405,Eskisehir Osmangazi Üniversitesi,world rank  2125,"Eskisehir Osmangazi Üniversitesi Meselik Yerleskesi
Eskisehir
26480 Eskisehir
Turkey",+90 (222) 229 0433,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
406,ESME Sudria,world rank  6128,"38, Rue Molière
Ivry-sur-Seine
94200 Ile-de-France
France",+33 (0)1 56 20 62 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
407,ESMT Berlin,world rank  1936,"Schlossplatz 1
Berlin
10178 Berlin
Germany",+49 (30) 212 31-0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid', 'career services']"
408,ESSCA School of Management,world rank  3476,"1 rue Lakanal; Boîte Postale 40348
Angers
49003 Pays de la Loire
France",+33 (0)2 41 73 47 79,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,"European Foundation for Management Development (EFMD)
Conférence des Grandes Ecoles (CGE)
Association to Advance Collegiate Schools of Business (AACSB International)
International Association for Management Development in Dynamic Societies (CEEMAN)
Fédération des établissements d'enseignement supérieur d'intérêt collectif (FESIC)
Université Catholique de l'Ouest (UCO)
Université Bretagne Loire (UBL)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid', 'career services']"
409,Esteghlal Institute of Higher Education,world rank  13136,"Carte 4
Kabul
Kabul
Afghanistan",+93 (79) 890 9046,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
410,Estiqamat Higher Education Institute,world rank  Un,"Kabul
Kabul
Afghanistan",+93 (70) 400 0001,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
411,Eswatini College of Technology,world rank  Un,"Somhlolo Main Road; PO Box 69
Mbabane
H100 Hhohho
Eswatini",+268,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
412,Esztergomi Hittudományi Fõiskola,world rank  11538,"Szent István tér 10
Esztergom
2500 Komarom-Esztergom
Hungary",+36 (33) 541 791,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
413,Eszterházy Károly Egyetem,world rank  3500,"Eszterházy tér 1
Eger
3300 Heves
Hungary",+36 (36) 520 400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
414,Eternal University,world rank  10933,"Baru Sahib Road
Baru Sahib
173 101 Himachal Pradesh
India",+91 (1799) 276 002,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
415,Ethiopian Civil Service University,world rank  10496,"Yeka Sub City
Addis Ababa
5648 Oromia Region
Ethiopia",+251 (11) 646 3015,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Ethiopian Civil Service University
|
College of Urban Development and Engineering College of Leadership and Governance College of Finance Management and Development","['library', 'housing', 'sports facilities', 'financial aid']"
416,Etugen University,world rank  10691,"Sükhbaatar
Selenge
Mongolia",+976 9911 6594,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
417,Eulji University,world rank  8515,"143-5 Yongdu-dong
Seongnam
301-832 Gyeonggi
South Korea",+82 (42) 259 1593,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,Korean Council for University Education (KCUE),"Eulji University
|
School of Medicine and College of Nursing College of Health Science and College of Health Industry","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
418,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",world rank  11282,"Earist Nagtahan Street
Sampaloc
1008 National Capital Region
Philippines",+63 (2) 715 1319,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Association of Southeast Asian Institutions of Higher Learning (ASAIHL),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
419,Eurasia International University,world rank  9606,"24/2 Azatutyan Avenue
Yerevan
0014 Yerevan
Armenia",+374 (10) 299 088,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,For-Profit,no-data,"Eurasia International University
|
Faculty of Management Faculty of Law Faculty of Foreign Languages Faculty of Pharmacy","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
420,Eurasian Academy of Law after D.A. Kunaev,world rank  11391,"Kurmangazy str., 107
Almaty
050072 Almaty
Kazakhstan",+7 (727) 313 11 55,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
421,Eurasian Institute for the Humanities,world rank  9853,"4 M. Zhumabayev prospect, Almaty district
Nur-Sultan
010009 Nur-Sultan
Kazakhstan",+7 (7172) 56-19-33,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
422,Eurasian Technological University,world rank  11550,"109, Tole bi street
Almaty
050012 Almaty
Kazakhstan",+7 (727) 292 5900,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
423,Eurecom,world rank  2403,"Campus SophiaTech, 450 Route des Chappes, CS 50193
Biot Sophia-Antipolis
06904 Provence-Alpes-Cote d Azur
France",+33 (0)4 93 00 81 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public Private Partnership,Non-Profit,"Institut Mines-Télécom (IMT)
European Institute of Innovation and Technology (EIT)","Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'financial aid']"
424,Eureka College,world rank  3978,"300 E. College Avenue
Eureka
61530-1500 Illinois
United States",+1 (309) 467 3721,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Illinois Board of Higher Education (IBHE),"Council of Independent Colleges (CIC)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
425,Euroakadeemia,world rank  9935,"Tondi 55
Tallinn
11316 Harju County
Estonia",+372 611 5801,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Euroakadeemia
|
Faculty of International Relations Faculty of Translation/Interpretation Faculty of Business Administration Faculty of Environmental Protection Faculty of Design","['library', 'housing', 'financial aid']"
426,Europäische Fachhochschule,world rank  4857,"Kaiserstrasse 6
Brühl
50321 North Rhine-Westphalia
Germany",+49 (2232) 5673-0,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
427,Europäische Fernhochschule Hamburg,world rank  5300,"Doberaner Weg 20
Hamburg
22143 Hamburg
Germany",+49 (40) 67570 700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['financial aid', 'distant learning']"
428,Europa-Universität Flensburg,world rank  2670,"Auf dem Campus 1
Flensburg
24943 Schleswig-Holstein
Germany",+49 (461) 805 02,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
429,Europa-Universität Viadrina Frankfurt (Oder),world rank  2626,"Grosse Scharrnstrasse 59
Frankfurt an der Oder
15230 Brandenburg
Germany",+49 (335) 55340,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,EFMD Quality Improvement System (EQUIS),"Europa-Universität Viadrina Frankfurt (Oder)
|
Faculty of Business Administration and Economics Faculty of Social and Cultural Science Faculty of Law","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
430,European Higher School of Economics and Management,world rank  9648,"18, Zadruga Str.
Plovdiv
4004 Plovdiv
Bulgaria",+359 (32) 672 362,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid', 'distant learning']"
431,European International College,world rank  12244,"PO Box 73767
Abu Dhabi
Abu Dhabi
United Arab Emirates",+971 (2) 449 1450,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
432,European Polytechnical University,world rank  9281,"23 “Sv. sv. Kiril i Metodiy” Str.
Pernik
2300 Pernik
Bulgaria",+359 (76) 600 773,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
433,European School of Economics,world rank  4732,"8/9 Grosvenor Place, Belgravia
London
SW1X 7SH London
United Kingdom",+44 (20) 7935 3896,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
434,European University,world rank  7971,"Academician Vernadskiy Boulevard, 16-V
Kyiv
03115 Kiev Oblast
Ukraine",+380 (44) 450 6490,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
435,European University,world rank  10785,"10 Davit Anhaght Street
Yerevan
0037 Yerevan
Armenia",+374 (10) 246 371,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
